,date,userid,message
10,"November 29, 1999 12:00AM",jbradb,"enigma23,

Exactly what I was wanting to know. So, between '95/'96/'97, not alot of difference? (I don't think I'd look earlier than a '95 anyway)

Price for these seems to run ~5K more for each later year u get. So, I could get a '95 for mid-upper 20Ks...but a '98 would run 40-45K, other things being equal. I guess u see my point. It might just come down to my looking at them on a lot and comparing one after another. Thanks!"
11,"November 29, 1999 5:04AM",merc1,"You add taxes and destination to any car and the price goes up dramatically. The MSRP is not 90K for a S500. Car & Driver adds luxury tax to a car's MSRP too and then says that this is the ""base"" price. The 750iL is a good 90K car no matter how you slice it, but the S500 isn't.

M"
12,"November 29, 1999 5:47AM",enigma23,"jbradb,

Yes the 1995 to 1997 models were basically identical. The only thing that changed was for 1997, when Lexus added Side-impact airbags."
13,"November 30, 1999 5:55AM",jbradb,"edmund's give ""fair mkt. value"" at 34K, whereas Kelly BB says ""retail"" is 38K....who's closer? dealer seems to be 1K above Kelly BB before negotiation."
14,"November 30, 1999 4:55PM",enigma23,"Kelly's BB is closer to actual retail value. I always found that Edmunds numbers are usually off by alot. The reason edmunds is not as good is because they only give one standardized price for the entire country. Whereas, KBBs values change based on where you live."
15,"November 30, 1999 5:53PM",rollie,"Regarding post #15:

In my experience, Kelly's prices are typically closer to what you would PAY for a used car if you bought it off a lot. Edmunds and NADA (which offers wholesale and retail prices) seem to be closer to what you would get if you sell it yourself or buy from the owner which is typically less than the Kelly price.

-rdo
russell.ollie@erols.com"
16,"December 6, 1999 3:55AM",jodys2,"Gosh bmwboys!

Jag boring??? Being the experienced Jaguar owner that I am, ;-) 25 days and counting, the car I drive, is anything but dull. The tires are rated to 168 mph!!! The sound system tricks you into thinking you are in a concert hall - all alone, with the artist performing just for you. I can't tell you how many friends, relatives and clients have said 'I have never ridden in a Jaguar before.' This 2000 XJ8 L is treating me sweetly. Surely, there are other 4 wheel carts with more gizmos. But ya know, I have been kept busy reading the four books that came with this vehicle, as it is. It does the important stuff, with out the clutter of features, that perhaps only bring bragging right. As one of our Edmunds comrades has said, 'The Jag, has old world charm.' Enjoying her Jag, Jody"
17,"December 6, 1999 4:06PM",simeonm,"Upon my first visit to this site, I read with great interest, the discussion about the various luxury sedans. From my perspective the $$ has little to do with the ""ranking"" of the car. There is really very little difference in the cost. The issue to me is how does the vehicle compare? In my humnble opinion there are two choices....everything else and the BMW. The LS400 is a vewry fine vehicle yet it is boring. The MB....is what I'll drive when I am a grandfather. Until then, I want to hear and feel the power of my bimmer as I roll by.

Riding The Black Rocket,
Sim"
18,"December 13, 1999 5:06PM",bmwboys,"Hey Jody,
I would have to admit your right on the jaguar being boring. It is one of the SEXIEST cars on the road, and there is nothing that turns heads more than a jag, but my bigest problem was that it was really slopy on the road. I traded my BMW M3 for a jaguar XJR and i wish i could get my M3 back. The jag was sexy and it was fast but i didnt feel like i was in control any longer. As for the interior appointments, what the jag lacks in gizmos it makes up for in wood. I think that is one of the best parts of a jag is all the wood. It is simple and that does make it classic, but i found the speedometer hard to read. do you have that problem?
By the way i sold my XJR 4 months after i owned it. 2100 miles. Someone got a deal, so if you see a white XJR wiht tinted windows it could be mine!"
19,"December 13, 1999 5:07PM",bmwboys,"Hey Simon,
Im a BMW nut as well, what do you drive?
Jon"
20,"December 15, 1999 5:07AM",jodys2,"Hey thanks Jon,

You are a gentleman! Thanks for acknowledging some of the Jag's good points. It must have been VERY disappointing to regret the Jag purchase, after just a couple thousand miles. Already, I have 1,500 on mine and feel like a newly licensed driver, anxious to run errands, so that I have an excuse to go for a drive. I do admit to being a naive luxury car owner. 'Curb' appeal is super important to me. Some of the high-end models I looked at on dealer showrooms were so nondescript, that I didn't even want to take them for a test drive. So many of the vehicles today, look like every other car on the road. A big part of the fun of driving a dream car, is having a great looking car. The rides I had in the 'other' luxury models, didn't seem to compare to this Jag, for what I was looking for, which was a luxury sedan. My humble experience has been, that the comfort of this XJ8 L's cornering, and acceleration, cause me to want to drive like a NASCAR driver. Guess I understand the higher insurance now

Jody"
21,"December 15, 1999 4:35PM",satisfied2,"Over the past 25 years I have had some real nice cars. Several BMW's,several MB's, several Volvo's a Lexus an Infiniti q45 and a couple of Porsche's. My newest is an Audi A8 which is both sporty and luxurious at the same time. Absolutely the best car I have had. A fun car that instills an abundance of confidence. It doesn't turn as many heads as did some of my past vehicles but I sure do have fun driving it."
22,"December 15, 1999 11:29PM",bmwboys,"Hey Jody
I am in total agreement with the errands. I was driving to the other side of town to rent a movie and the same with getting new CDs I got in some big trouble with my partner about all the errands i ran in the first 2 weeks of owning my Z3 Coupe. I put 2200 miles on in 2 weeks, i was told to put my new toy away and not to drive it till the next month. I was crushed. The funny thing is that i was ""depressed"" about driving my normal every day car which is a 750iL. And then it hit me how silly i was.
I bet the L in your Jag helps a lot, our XJR was the short wheel base and i felt like it was cramped. plus i am 6'1"". How tall are you that you fit so perfectly?
I am about to get my newest toy from BMW, an X5. You know their new sport utility. Now i have to try to keep in mind not to drive so much and so far the fist few weeks.
By the way what color is your jag?"
23,"December 16, 1999 3:45AM",jodys2,"Believe it or not Jon, green IS my favorite color. I had no choice but to get this dark green, it is perfect for my first luxury car, stately, but still with some pizazz. You are right about the extra room in the long wheel base. The back seat legroom is huge! The deciding factor in getting the L model was the additional headroom the driver feels. While the stats don't show it, the salesfolks said and I noticed the difference. I am 5'8"", and the headliner is now comfortable.

I bet you can hardly wait for your new toy to arrive! Sport utilities are hugely popular here in the Minnesota. Enjoy it! Those first few thousand miles have to be the best, everything is so new and appreciated. Actually, I have used the 'car and toy in one' rationalization a lot. We don't have to wait for the weekend or vacations for a bit of fun. Plus the car and toy only take up one stall in the garage. What color are you looking forward to?

Jody

P.S. Today's Jag Joy: Teenage boy working at the hamburger drive thru exclaims, ""Is that a Jaguar?"" ""Wow, that is a great looking car."" FYI-in high school, I also worked at that hamburger joint and rode my Schwin bike to work..."
24,"December 16, 1999 4:45AM",bmwboys,"British RACING Green, the key word racing!
It is amazing how many people have never, or rarely see a jag. When i took mine in for service, 3 days after taking delivery..... we can get into that later, i got an XK8 conv. and the guys at some burger place were just crazy about it, ""what kind of car is that"", and this one woman got out of the car in front of me and wanted to take a look. There is just something special about a jag.
But i must be true to my passion and drive my Bimmers. I even named my dog Bmer.
My new toy, christmas present actually, i have been a VERY good boy this year, is going to be in eihter green or silver. The green hides all the lines of the car but i already have a silver car, but silver hides dirt and is easy to wash.
its a toss up. Ill just let Santa decide!
You know what i miss most about my jag, the wheels, i had the big 18"" wheels, they were so sexy, that and the wood steering wheel.
Well jody i got to get to bed
Ill talk to you later!"
25,"December 17, 1999 4:21AM",jodys2,"What a great name for man's best friend! Specially when his master bleeds bimmer blood
Does he get to ride in your BMW? My pouch, Pete, hasn't quite made it to his first Jag ride yet. I don't know how much longer I can hold out.

Silver is a great color. You are so right about its ability to hide the dirt. Just the same, I've got to hope Old Saint Nick chooses green for you. When do you hope to take delivery? Xmas Eve?

Jon, when you get a chance, share your horror stories about the Jag, including what model year you had. I took the vehicle in for a non-lighting heated seat button. I left the dealership REALLY disappointed, because after a full day they could not fix it. Guess they sell vehicles without having the electrical layout references on hand. FYI - that was three weeks ago and still no fix in site."
26,"December 18, 1999 4:38PM",bmwboys,"hey jody,
My baby Bmer rode in a BMW after 3 weeks and now he turns his nose up at the sight of a toyota....
He tries to drive everychance he gets, most times he has his rear paws on my chest and the 2 front on the wheel, its just so he can see out the window but it looks really strange.
Well about my jag trouble......
i had a 98 XJR upon delivery the fog lights didnt work, a few lights on the dash didnt work, and the car had a wobble in it when driving. The gear shift looked like it had been put on wiht some serious force, i mean really torn up. The trunk didnt close properly and the paint was not very good. I was really disapointed.
The service department was a joke, i took the stuff into get fixed and the service mangager LIED to me. The problems took forever to fix and when i got the car back 2 of my rims were badly damaged.

I was not happy and after that i was just burt wiht Jaguar.

About my new toy, santa cant get it into his bag of goodies. It will be here in feb, it can be a romantic present.
Im hopeing for green but i may get out voted on silver.

ill talk wiht you later i have a plumber walking in the door.

jon"
27,"December 19, 1999 8:34PM",ste345,Tire problems cannot get the vibration out.
28,"December 22, 1999 1:46AM",jodys2,"Isn't it amazing the lack of professionalism found in so many places today? Jon, I totally understand your disappointment with the condition and subsequent repair attempts. True story: when I went to pick up my 2000 Jag, the interior leather and headliner were smeared with dark 'stuff' in at least five places. I am NOT a white glove type of person, but wouldn't you think SOMEONE at the dealership would have noticed the interior condition of the vehicle, before a customer came in to pick up an auto and that required writing a check for nearly $65k?

Is great service a dealer, by dealer commodity? Or are there any models that have a corner on the market? Bets are that the BMW dealerships have treated bmwboys well. Say, what type of dog is little Bmmer?"
29,"December 23, 1999 9:26PM",bmwboys,"Hey Jody,
I truly believe that service is just something that a dealer has or doesnt. That was the main reason i was so unhappy with my jag was the service. It wasnt untill after i had been there that i realised that my BMW dealer was SO much better.
But once my favoriate service manager left things went down hill fast. The replacement of a new sales manager is quickly pushing me over the top. Maybe ill just go someplace else. In the last 3 years i have purchased 8 new BMWs and refered several frineds there. The ""royal"" treatment is wearing off fast.

That business with your headliner is not acceptable. I believe that when they make a mess they fix it. I had some lettering disapear off a door on the inside of my car, and it was there when i dropped the car off, well you better believe they replaced the whole panel. I expect my new car to be perfect, even if i have to bring it back several times. And since they had already had my car for a few days i gave back the 3 series loaner and demanded their 750il demo car. I got it.
it is all in how you approach the situation.
Good luck wiht your service dept.
Bmer is a Yorkshire Terrorist"
30,"December 29, 1999 2:13PM",merc1,"Anybody know when the Jaguar XJ8 is going to be replaced?

M"
31,"December 30, 1999 4:16AM",enigmaone,I believe the XJ8 is going to be replaced in 2002.
32,"December 30, 1999 10:18PM",joeramos,"I am considering purchase of one of these two
fine cars and would appreciate some thoughts from someone who knows both. The MB S Class costs almost $100K with all the options but has that star on the hood. The Jag S class is smaller, costs much less, but looks terrific. Any thoughts?"
33,"December 31, 1999 1:16AM",jodys2,"Tell me it ain't true! My new 2000 model Jag will be replaced in two short years (a/k/a obsolete)- ouch. How do you find out such things?

I am having a flash back, it was the spring of 1990 and I became the proud owner of a new Dodge Dynasty..."
34,"December 31, 1999 2:45AM",enigmaone,The current Jaguar XJ8 platform has been used for over a decade. So it's been well known that a new XJ8 platform was soon to come. 2002 model year is the expected date of the next generation XJ8. Using a completely new platform but retaining traditional Jaguar styling!!! I'm looking forward to seeing what gem Jaguar turns out!!
35,"January 6, 2000 5:36AM",VAI,Anybody have any idea when the current 7 series BMW is going to be replaced?
36,"January 6, 2000 9:41AM",merc1,"Thats a very good question. The current 7 was scheduled to be replaced for 2001, but rumors have surfaced that the car that was supposed to do that was too big, heavy and complex. It was suggested that the previous S-Class was the target. That would have made sense way back when, but it wouldn't be smart for BMW or anyone to do a car like that again. So reportedly they have gone back to the ""drawing board"", which will delay a new 7 until 2002 or 2003.

M"
37,"January 6, 2000 1:45PM",VAI,Anybody have any idea when the current 7 series BMW is going to be replaced?
38,"January 9, 2000 3:27PM",jgoodchild,"Yesterday, I took a test drive in a BMW 7 series sport version and I was extremely impressed (I woke up this morning thinking about it). I recently drove an MB S430 too. Both are unquestionably fine cars - albeit they are different. I like the sporty feel of the 7 series. It performs and handles in a way that I prefer over the S430. I think I will put my order in soon for the 7 sport version. Does anyone have any opinions about the 7 series, especially the sport version? Any input is much appreciated - I think I will order one this week."
39,"January 9, 2000 3:31PM",jgoodchild,"My dealer said that the new 7 series body style is scheduled for 2002. He said that BMW has had so much success with the current body style that they will stick to it --- he did not admit to having to go back to the ""drawing board"" --- true salesman."
40,"January 11, 2000 11:10PM",enigmaone,"http://www.detnow.com/naias2000/11-lexus.html

The pictures are in of the 2001 LS430 at the above site.

It looks good!!!!!!!"
41,"January 11, 2000 11:48PM",enigmaone,Video is also available at carpoint.com website.
42,"January 12, 2000 9:02PM",vbnm,"indeed, it is only my opinion, but BLECH!!! it appears lexus employed liberal use of MB S-class styling but then threw in the most lamentable dimensional disproportionalities of the toyota echo. two questions: 1) what type of ganja were the designers smoking 2) (the obious follow up) where can i get some?!"
43,"January 14, 2000 7:58PM",microrepair,"The video (and pictures) in carpoint.com are of the 2000 model, not the 2001.

The new one looks sorta like an E-class with some subtle bulges on the fenders."
44,"January 14, 2000 8:52PM",enigmaone,The video on carpoint.com under the 2000 NAIAS auto show is of the 2001 LS430.
45,"January 15, 2000 1:11AM",rmkrmk,I am in the process of buying an MB S500. Please share your buying experiences regarding any discounts from MSRP and which dealers you think I should shop.What color looks the best on this car? I have not seen all the colors in person. How about the interior color? Thanks!!
46,"January 17, 2000 6:09AM",ldr,"Been looking at this vehicle also ""very impressive"" to say the least.Have seen in silver, absolutely beautiful! But being a black car freek, the black on black was obscene! Has to be the finest body style MB has to date. Reading the brochure (novel) is so feature rich, it has to be the most advanced vehicle available today."
47,"January 18, 2000 6:04PM",dado420,"Went to the Detroit Auto Show yesterday and no real and confirmed date yet on when the next BMW 7 series is going to show up.

BMW rep. at the BMW stand said don't expect it for the 2001 model year. He said it would most probably show up in the summer of 2001 as a 2002 model. And he would not say why the launch of the next generation 7 series has been delayed by over a year."
48,"January 19, 2000 4:06AM",mike2567,"That Lexus LS430 is a blatant copy of the Mercedes Benz S-class, if ever I saw a blatant copy! Wow! Body shape, rear lights, model number ... even the wheels! I suppose imitation is the sincerest form of flattery.

As to buying an M-B S500 at a discount, forget it! These cars are on 6 month back order; and M-B dictates sticker pricing a la Saturn.

The good colors on the S-class are all of them. I have brilliant silver with charcoal interior. The only one that leaves me a bit lukewarm is the black, although it does look very formal."
49,"January 19, 2000 4:07AM",mike2567,"That Lexus LS430 is a blatant copy of the Mercedes Benz S-class, if ever I saw a blatant copy! Wow! Body shape, rear lights, model number ... even the wheels! I suppose imitation is the sincerest form of flattery.

As to buying an M-B S500 at a discount, forget it! These cars are on 6 month back order; and M-B dictates sticker pricing a la Saturn.

The good colors on the S-class are all of them. I have brilliant silver with charcoal interior. The only one that leaves me a bit lukewarm is the black, although it does look very formal."
50,"January 19, 2000 4:07AM",mike2567,... sorry about hitting the button twice ...
51,"January 19, 2000 11:19AM",hello25,"And whose flagship just copied whose with electroilluminesent lighting? Who had a navigation system first? Whose executive said their drivers would not need it? Who most recently introduced wood steering wheels?
The recent S class both downsized and upgraded itself to meet market standards. The new LS
does take Mercedes styling into account, yes.
But you are mistaken if you think Mercedes Benz is the be all and end all of the automotive world that it was in 1896, and during a period of time
in the 1970's and 80's."
52,"January 25, 2000 1:12AM",flint350,"As a point of interest, I have noted many talk of the MB active cruise control and that the Lexus also will have it. I am currently researching the purchase of either an S430 or Lexus LS430 for the fall. My local MB dealer says none of the MB cars have (or will have) the active cruise due to last minute fears of law suits (a sad, but separate commentary on our litigious society). The Lexus is still planned to have it. What with the elimination of the Euro delivery discount (or any reasonable negotiation below the inflated MSRP) and the quality and other issues reported, MB seems to be helping me make a seemingly difficult decision. If the Lexus comes out anything like it is announced/anticipated, MB may certainly lose market share. At least my share, but I await the new 2001 models with open mind and room for change."
53,"January 25, 2000 4:33AM",mike2567,"Although Lexus invented lights, Benz was the first car with 4 wheels! And an internal combustion engine! Lexus has now shamelessly copied these important design features!

Not only that. They also made the body style a blatant imitation of the M-B S-class."
54,"January 25, 2000 4:47AM",enigmaone,What??
55,"January 25, 2000 6:01AM",rollie,"Regarding post #55:

I believe mike2567 was referring to the fact that Daimler-Benz invented the automobile.

-rdo
russell.ollie@usa.net"
56,"January 25, 2000 9:50AM",merc1,"I'll be surprised if Lexus does offer the active cruise control feature. Some idiot will expect the car to drive itself....like lane correction, stopping, and swerving. Mercedes wouldn't take that chance and unless the Lexus system has some type of idiot-proof feature, I'd expect them to delay their also.

M"
57,"January 25, 2000 3:09PM",enigmaone,"The laser guided cruise control on the LS430 is going to be optional. So I'm sure it's going to have it, as a option. They may have a big warning sticker on the window, with the owners manual, etc. stating what and what it does not do!"
58,"January 25, 2000 5:29PM",hello25,Now if we can just figure out whose ancestors invented the wheel we can make Daimler Chrysler pay them royalties.
59,"January 25, 2000 6:32PM",flint350,"FYI, the MB dealer told me almost exactly that - they were sued by some woman who ""misunderstood"" her briefing on the regular cruise control - set it on the hwy then turned around to get something from the back seat. Obvious result. Don't know if this is true or anecdotal, but that is how he explained Benz's decision to drop active cruise despite heavily advertising it.

For enigma: the prior LS400 nav system was not compatible with the Nakimichi, but the new one is standard, right? So the Mark Lev. must be compatible with the Nav sys. and the Nak. no longer an option, I assume? And that means touch screen control for the Mark Lev. and some steering wheel control?"
60,"January 25, 2000 7:38PM",enigmaone,"the Navigation system is still optional, I believe. But the optional mark levinson stereo system is compatible with the GPS nav. system. And so is the stock stereo, which I'm assuming remains a Pioneer system.

The GPS nav. system remains mostly touch screen but I believe the stereo controls are not as much a part of the touch screen display as they are in the current LS400.

The stereo does have some controls on the steering wheel."
61,"January 26, 2000 6:07PM",car_pro66,"I am surprised that I did not find any discussions
regarding Audi A8. I currently drive MB C280 and Lexus LX450. Love my Lexus and hate my MB especially during the winter. I'll be looking for a new car in couple of month and my main candidates are BMW 740il and Audi A8. Many of my friends use to drive BMW but resently switched to Audi and very happy with this car.
Any comments would be appreciated.
Thanks."
62,"January 26, 2000 6:10PM",car_pro66,"I am surprised that I did not find any discussions
regarding Audi A8. I currently drive MB C280 and Lexus LX450. Love my Lexus and hate my MB especially during the winter. I'll be looking for a new car in couple of month and my main candidates are BMW 740il and Audi A8. Many of my friends use to drive BMW but resently switched to Audi and very happy with this car.
Any comments would be appreciated.
Thanks."
63,"January 26, 2000 9:41PM",enigmaone,"The A8 is a good car but it is overlooked because first, it's a $70K Audi! Second, because Audi doesn't really market the car! Third, Alot of people shy away from buying it because of it's all-aluminum construction which only maybe a dozen body shops around the country can fix. Forth, Audis aren't exactly known for high resale value. And when you buy a $70K car, below average resale value really hurts!

But otherwise it's a excellent car. Breakthrough technology, AWD(good if you need it), gorgeous interior, understated but elegant and tasteful exterior design, and has all the features one would expect for it's price tag!"
64,"January 27, 2000 12:15AM",rollie,"Regarding post #66:

I agree with all your points on the A8 except the price. If anybody pays $70k for an A8 they should have a hole installed in their head where a brain can be inserted. The A8s have been moving at huge discounts for most of their time on the market. I read of several people buying them for the low to mid 50s. This makes it more compelling buy but for me doesn't overcome the major issues you mentioned (particularly the aluminum construction).

-rdo
russell.ollie@usa.net"
65,"January 27, 2000 4:15AM",enigmaone,"rollie,

I was using MSRP as a reference. Discounts vary greatly based on time of year and region of the country. So it's kind of hard to put a general and accurate number on what people actually pay for one. $70K is a approximate MSRP."
66,"January 27, 2000 5:27AM",rollie,"Regarding post #69:

I certainly agree that it's hard to quantify discount prices due to timing but believe me, there is no point in time from here forward (at least not until a new model A8 comes out) that the A8 isn't selling at a discount from MSRP. It's a great car notwithstanding the issues you pointed out already but it simply isn't moving.

By the way, unless things have changed drastically, Edmunds lists the 2000 A8 MSRP as $62,525 with destination charge.

Thanks.

-rdo
russell.ollie@usa.net"
67,"January 27, 2000 2:32PM",enigmaone,"rollie,

Did you forget about all the options that are available on the car?

Do you really think you are going to find even one Audi A8 4.2 Quattro on dealer lots with a sticker price of $62000 on the window?"
68,"January 27, 2000 5:34PM",car_pro66,"Thanks a lot guys for your input.
I am more puzzled now than I was before, but I
have a feeling that at the end I will probably go
with BMW 740IL. My only concern is that as soon as I get it BMW will introduce new body style, and I'll be driving an obsolete car. I hate when it happens.

Thanks again."
69,"January 27, 2000 6:29PM",enigmaone,"It will hardly be a obsolete car. As long as you can drive it, get it fixed, get parts, etc. for it, it is not obsolete.

Besides the current 7-series is a excellent car to begin with in most respects. So why not buy one?"
70,"January 28, 2000 3:43AM",mcurtin,"Will pick up my 2000 A8 Saturday...it is equipped with what I call the 3 basic options (alloy wheels, xenon lamps, premium comfort package--ie., heated seats)...I say basic because looking at 5 dealers' inventory I didn't find any with fewer than these 3 options. Mine also has navigation package. All told, $66805 and sold for $61347 or $2550 over invoice. This however, from the ""new kid on the block"" dealer in the area most anxious to build his sales volume. Everyone else wanted at least $1000 more.
Thanks, MJC"
71,"January 29, 2000 3:44PM",merc1,"This detours away from the last few post, but I it was very interesting to me. Coming home from work this morning I saw S-Type 4.0 trailing behind a 1999 or better Vanden Plas. The woman in the Vanden Plas was looking at the S-Type and she seemed to give it her approval, but then she turned around and smiled at me. You had to be there, both of these women were really ""feeling"" their Jaguars. The old XJ body does look a little
dated running along the S-Type, but it's still the epitome of class. All Jaguars are.

M"
72,"January 31, 2000 4:41AM",jodys2,"Thanks Merc1 for mentioning the 'J' word. I monitor this post, just hoping for such a thing.

My '2 cents', the S body style is a sad statement. The only 2 things I can give it credit for are: the moon roof/sun roof and cool TV advertisements. I couldn't get past the outside appearance to even test drive one.

Of course, I am a bit prejudiced. I have a 2000, XJ8 L, and think the body style can not be beat. Oh, concerning the Vanden Plas. That is a regal car. My Dad has a 2000 model...

Just for the record, I ordered mine first"
73,"January 31, 2000 10:54AM",merc1,"I just noticed that you can get the 370-hp supercharged V8 in a new 2000 model called the Vanden Plas SC, anyone here have any experience with this model?

M"
74,"January 31, 2000 11:51PM",jcooper3,"Jodys2

Please take a look at sedans conference #2946 (MB S430 Alternatives) posts #58,59,60. The conference needs some reports of jag. ownership exprience. I posted mine; however the more the better.

Merc1

I test drove the VDP S/C before purchasing a standard 2000 VDP. The power was unbelieveable, but costly and in my case not needed. My new jag is flawless so far, very happy with it. I like the S type also, they are different but compliment each other and the jag. legacy."
75,"February 1, 2000 6:12AM",ciscocert,"Instead of buying Jaguar XJ8 one should buy S-Type 4.0. The XJ8 is very small car for its size outside. I looked at S-Type and XJ8 and ended up buying S-Type V8 because XJ8 was too small on the inside. IT had very little headroom plus trunk was very small.

I am glad I bought S-Type V8. So far I have 10500 miles on it, and I love it. Fabulous car. So far no problems too. It handles great, drives smoothly, is almost Lexus quiet, and has tons of features. And it looks very good too."
76,"February 1, 2000 3:51PM",dado420,"Out of this list, the BMW 740i or 740il is the best car. The S430 is probably a better car but when considering how much it costs, its not that much of a better car than the BMW 740-line. None of the above cars handles as well as a 740, looks as good as a 740, or has as much character as a 740. Although the Jaguar comes close in the character department.

But all of the above cars are still excellent cars in their own ways."
77,"February 2, 2000 3:46AM",jk40,"You asked about an Audi A8. I have owned 6 Jags and a 740 and read about the technology of the A8 so decided to try one. It is as fine a car as I have ever owned. The quattro is amazing in the ice and snow. I even try to see where its limit is on snow and haven't found it yet. Even on wet roads in the summer it doesn't slide in high speed turns. This is probably the feature that puts the A8 above the Jag & BMW. It has every feature that my 740 had and has a little softer ride. Features for the money - Jags fall very short of the competition for the same price. The Jag S-Type is a Ford Taurus with a nicer interior but if you ever owned a real Jag the S isn't one. Resale on the A8 is falling a little behind a 740 but I paid less for one also because the dealer was willing to discount the car off of the $70,000 msrp."
78,"February 6, 2000 9:13PM",scongro,"First of all, going back to something a few responses back, some were saying that Lexus copied MB's ""430"" badging. Does anyone remember the '93 MB ""190 E"". In 1994 MB revamped their entire badging system, using the number to represent displacement, while Lexus used this system from the start. I'm sure MB didn't do this because they were bored.(a side note-Acura also did this, but they need a V8 to really compete)

Second, I know that the '00 LS 400 has a higher bhp than BMW & MB (282-BMW 740i/740il, 275-MB S430, 290- LS 400). The '01 LS 430 will probably have a horsepower boost to lift it over the S500(302bhp). Mix that with the stetched wheelbase of 3""-4""(best guess when I compared the '00 & '01), the additional options coming next year, and the fact that Lexus probably will not raise the price more than $5000, I think that Lexus will probably win the V8 segment of this market, with MB winning the V12 for '01, as I heard they are coming out with a new V12 engine. Don't get me wrong, BMW will still have their following, catering to the people who like the ""thrill of driving"""
